Step: 276, Loss: 5.858535, Tokens/sec: 12215.28
Step: 277, Loss: 6.121066, Tokens/sec: 12329.32
Step: 278, Loss: 6.261515, Tokens/sec: 12222.29
Step: 279, Loss: 6.021185, Tokens/sec: 12287.70
Step: 280, Loss: 6.187263, Tokens/sec: 12297.07
Step: 281, Loss: 5.854440, Tokens/sec: 12373.09
Step: 282, Loss: 5.655219, Tokens/sec: 12269.41
Step: 283, Loss: 5.852548, Tokens/sec: 12068.41
Step: 284, Loss: 5.791897, Tokens/sec: 12154.75
Step: 285, Loss: 5.572343, Tokens/sec: 12261.58
Step: 286, Loss: 5.936770, Tokens/sec: 12212.23
Step: 287, Loss: 5.678005, Tokens/sec: 12167.06
Step: 288, Loss: 5.599221, Tokens/sec: 12249.34
Step: 289, Loss: 5.712626, Tokens/sec: 12301.69
Step: 290, Loss: 5.877118, Tokens/sec: 12151.37
Step: 291, Loss: 5.737848, Tokens/sec: 12095.89
Step: 292, Loss: 5.639998, Tokens/sec: 12161.59
Step: 293, Loss: 5.295922, Tokens/sec: 12239.72
Step: 294, Loss: 5.477752, Tokens/sec: 12204.82
Step: 295, Loss: 5.435251, Tokens/sec: 12240.73
Step: 296, Loss: 5.618440, Tokens/sec: 12145.25
Step: 297, Loss: 5.796177, Tokens/sec: 12215.11
Step: 298, Loss: 5.300688, Tokens/sec: 12221.75
Step: 299, Loss: 5.610673, Tokens/sec: 12248.66
Step: 300, Loss: 5.254403, Tokens/sec: 12178.69
Step: 301, Loss: 5.503548, Tokens/sec: 12091.16
Step: 302, Loss: 5.173903, Tokens/sec: 12278.07
Step: 303, Loss: 5.000609, Tokens/sec: 12288.79
Step: 304, Loss: 5.080348, Tokens/sec: 12176.07
Step: 305, Loss: 4.860632, Tokens/sec: 12255.35
Step: 306, Loss: 5.024533, Tokens/sec: 12110.08
Step: 307, Loss: 6.032941, Tokens/sec: 12178.57
Step: 308, Loss: 5.654994, Tokens/sec: 12328.40
Step: 309, Loss: 5.680751, Tokens/sec: 12344.08
Step: 310, Loss: 5.768656, Tokens/sec: 12222.05
Step: 311, Loss: 5.424810, Tokens/sec: 12364.74
Step: 312, Loss: 5.528558, Tokens/sec: 12172.17
Step: 313, Loss: 5.251081, Tokens/sec: 12295.43
Step: 314, Loss: 5.474126, Tokens/sec: 12277.23
Step: 315, Loss: 5.671058, Tokens/sec: 12066.87
Step: 316, Loss: 5.442940, Tokens/sec: 12165.20
Step: 317, Loss: 5.356433, Tokens/sec: 12208.50
Step: 318, Loss: 5.315910, Tokens/sec: 12168.84
Step: 319, Loss: 5.041982, Tokens/sec: 12198.74
Step: 320, Loss: 4.990195, Tokens/sec: 12217.89
Step: 321, Loss: 4.999774, Tokens/sec: 12163.32
Step: 322, Loss: 4.905510, Tokens/sec: 12048.56
Step: 323, Loss: 4.425611, Tokens/sec: 11631.63
Step: 324, Loss: 5.370867, Tokens/sec: 12179.90
Step: 325, Loss: 5.915606, Tokens/sec: 12255.75
Step: 326, Loss: 5.942378, Tokens/sec: 12211.15
Step: 327, Loss: 5.914974, Tokens/sec: 12152.42
Step: 328, Loss: 5.521254, Tokens/sec: 11821.84
Step: 329, Loss: 5.600420, Tokens/sec: 12105.80
Step: 330, Loss: 5.789088, Tokens/sec: 12241.52
Step: 331, Loss: 5.929887, Tokens/sec: 12207.06
Step: 332, Loss: 5.927521, Tokens/sec: 12151.85
Step: 333, Loss: 5.731184, Tokens/sec: 9795.73
Step: 334, Loss: 5.722084, Tokens/sec: 11690.02
Step: 335, Loss: 5.781756, Tokens/sec: 12144.13
Step: 336, Loss: 5.663928, Tokens/sec: 12193.09
Step: 337, Loss: 5.693469, Tokens/sec: 12041.80
Step: 338, Loss: 5.393982, Tokens/sec: 12155.17
Step: 339, Loss: 5.340951, Tokens/sec: 12051.92
Step: 340, Loss: 5.234426, Tokens/sec: 12279.93
Step: 341, Loss: 4.817055, Tokens/sec: 12111.04
Step: 342, Loss: 5.125944, Tokens/sec: 12252.89
Step: 343, Loss: 4.986345, Tokens/sec: 12195.27
Step: 344, Loss: 5.078662, Tokens/sec: 12234.27
Step: 345, Loss: 5.103996, Tokens/sec: 11865.09
Step: 346, Loss: 5.406192, Tokens/sec: 12228.94
Step: 347, Loss: 5.057206, Tokens/sec: 12182.06
Step: 348, Loss: 5.102916, Tokens/sec: 12293.66
Step: 349, Loss: 5.092611, Tokens/sec: 12244.66
Step: 350, Loss: 5.378286, Tokens/sec: 12188.04
Step: 351, Loss: 5.300536, Tokens/sec: 12198.16
Step: 352, Loss: 5.288599, Tokens/sec: 11995.69
Step: 353, Loss: 5.601653, Tokens/sec: 12287.24
Step: 354, Loss: 5.584557, Tokens/sec: 12156.22
Step: 355, Loss: 5.289164, Tokens/sec: 12264.13
Step: 356, Loss: 5.359107, Tokens/sec: 12156.32
Step: 357, Loss: 5.319705, Tokens/sec: 12204.63
Step: 358, Loss: 5.492895, Tokens/sec: 12059.92
Step: 359, Loss: 5.178437, Tokens/sec: 12130.11
Step: 360, Loss: 5.191018, Tokens/sec: 12110.68
Step: 361, Loss: 5.303745, Tokens/sec: 12182.82
Step: 362, Loss: 5.036824, Tokens/sec: 12075.23
Step: 363, Loss: 4.791679, Tokens/sec: 12259.65
Step: 364, Loss: 5.012689, Tokens/sec: 12141.46
Step: 365, Loss: 4.959868, Tokens/sec: 12215.44
Step: 366, Loss: 5.252515, Tokens/sec: 12107.74
Step: 367, Loss: 5.311460, Tokens/sec: 12158.11
Step: 368, Loss: 5.051026, Tokens/sec: 12194.99
Step: 369, Loss: 4.968407, Tokens/sec: 12273.91
Step: 370, Loss: 5.477221, Tokens/sec: 12147.71
Step: 371, Loss: 4.960095, Tokens/sec: 12198.98
Step: 372, Loss: 4.639863, Tokens/sec: 12109.21
Step: 373, Loss: 4.764249, Tokens/sec: 12183.23
Step: 374, Loss: 5.480565, Tokens/sec: 12096.51
Step: 375, Loss: 5.374343, Tokens/sec: 12278.74
Step: 376, Loss: 5.369167, Tokens/sec: 12094.26
Step: 377, Loss: 5.700473, Tokens/sec: 12051.74
Step: 378, Loss: 5.656026, Tokens/sec: 12162.29
Step: 379, Loss: 5.651981, Tokens/sec: 12228.55
Step: 380, Loss: 5.487007, Tokens/sec: 12185.17
Step: 381, Loss: 5.547290, Tokens/sec: 12252.94
Step: 382, Loss: 5.643397, Tokens/sec: 12112.16
Step: 383, Loss: 5.327803, Tokens/sec: 12250.51
Step: 384, Loss: 5.300414, Tokens/sec: 12128.84
Step: 385, Loss: 5.539470, Tokens/sec: 12069.21
Step: 386, Loss: 5.417041, Tokens/sec: 12222.83
Step: 387, Loss: 5.251730, Tokens/sec: 12150.99
Step: 388, Loss: 5.296281, Tokens/sec: 12153.15
Step: 389, Loss: 5.157130, Tokens/sec: 12170.20
Step: 390, Loss: 4.950306, Tokens/sec: 12111.05
Step: 391, Loss: 4.885015, Tokens/sec: 12171.34
Step: 392, Loss: 4.307121, Tokens/sec: 12261.82
Step: 393, Loss: 5.103256, Tokens/sec: 12251.23
Step: 394, Loss: 5.168216, Tokens/sec: 12242.69
Step: 395, Loss: 5.351084, Tokens/sec: 12075.44
Step: 396, Loss: 5.473845, Tokens/sec: 12140.03
Step: 397, Loss: 5.281404, Tokens/sec: 12113.21
Step: 398, Loss: 5.653517, Tokens/sec: 12275.23
Step: 399, Loss: 5.204350, Tokens/sec: 12232.98
Step: 400, Loss: 4.896931, Tokens/sec: 12163.82
Step: 401, Loss: 5.586382, Tokens/sec: 11969.85
Step: 402, Loss: 4.850549, Tokens/sec: 12222.65
Step: 403, Loss: 5.111489, Tokens/sec: 12117.97
Step: 404, Loss: 5.135378, Tokens/sec: 12242.77
Step: 405, Loss: 5.433577, Tokens/sec: 12187.10
Step: 406, Loss: 5.116595, Tokens/sec: 12242.30
Step: 407, Loss: 4.980506, Tokens/sec: 12181.09
Step: 408, Loss: 4.697364, Tokens/sec: 12266.36
Step: 409, Loss: 4.864141, Tokens/sec: 12158.45
Step: 410, Loss: 4.920045, Tokens/sec: 12102.95
Step: 411, Loss: 5.092186, Tokens/sec: 12151.02
Step: 412, Loss: 5.363925, Tokens/sec: 12188.54
Step: 413, Loss: 5.037608, Tokens/sec: 12133.41
Step: 414, Loss: 5.095932, Tokens/sec: 12190.56
Step: 415, Loss: 5.018666, Tokens/sec: 12093.59
Step: 416, Loss: 4.877330, Tokens/sec: 12307.85
Step: 417, Loss: 5.246105, Tokens/sec: 12122.21
